Index	1,		2,		3,		4,		5,		6,		7,		8,		9,		10,		11,		12,		13,		14,		15,		16,		17,		18,		19,		20,		21,		22,		23,		24,		25,		26,		27,		28,		29,		30,		31,		32,		33,		34,		35,		36,		
1,	0,		16,381172,	16,095678,	83,38992,	19,295267,	19,807098,	20,452675,	19,817387,	19,302984,	22,101337,	20,285494,	18,914608,	21,867285,	19,575617,	84,75052,	86,0751,	88,96091,	88,30247,	88,30247,	27,034464,	16,828705,	87,87037,	88,4105,	89,91512,	89,076645,	83,21759,	19,21039,	17,63889,	20,270061,	17,618313,	17,700617,	25,275208,	15,997942,	17,451132,	17,134773,	16,286009,	
2,	16,381172,	0,		11,095678,	85,06944,	14,6862135,	17,026749,	19,727365,	16,669239,	17,481997,	22,05247,	16,640945,	16,51749,	16,152264,	16,195988,	86,548355,	86,96502,	89,64764,	89,295265,	89,295265,	26,3143,	11,880144,	88,03241,	88,786,		90,362656,	89,637344,	84,61677,	15,388374,	14,755659,	16,49177,	14,236111,	15,244341,	23,824589,	15,3137865,	15,468107,	10,640432,	10,789609,	
3,	16,095678,	11,095678,	0,		84,92798,	14,009773,	16,723251,	18,549383,	16,471193,	17,21965,	21,599794,	16,345163,	15,9362135,	16,712963,	16,31173,	86,6821,	86,81585,	89,603905,	89,1358,	89,1358,	26,116255,	12,379115,	88,17644,	88,81687,	90,27006,	89,32613,	84,670784,	15,455248,	13,82716,	15,94393,	13,71142,	13,888889,	23,8143,	15,177469,	14,42644,	11,463477,	10,745885,	
4,	83,38992,	85,06944,	84,92798,	0,		85,96193,	85,37037,	85,892494,	84,735085,	85,00257,	88,56224,	85,61729,	85,24434,	86,265434,	84,77366,	20,38323,	23,526236,	28,834877,	28,793726,	28,793726,	92,111626,	85,74846,	28,127571,	28,4465,	32,56687,	29,099794,	17,430555,	85,3858,	85,234055,	86,56378,	85,388374,	84,92284,	92,48714,	85,954216,	84,230965,	85,262344,	85,22634,	
5,	19,295267,	14,6862135,	14,009773,	85,96193,	0,		13,515946,	16,234568,	12,3148155,	13,009259,	19,794239,	12,255658,	12,528293,	13,230452,	11,846707,	87,96554,	88,479935,	91,47634,	91,239716,	91,239716,	23,72428,	15,599279,	90,41152,	91,03138,	92,65689,	91,40432,	86,40433,	15,655865,	15,138888,	15,57356,	14,745371,	15,506688,	21,985596,	15,39609,	15,846193,	15,748456,	14,96142,	
6,	19,807098,	17,026749,	16,723251,	85,37037,	13,515946,	0,		13,271605,	10,94393,	10,93107,	20,226337,	10,789609,	10,717592,	12,865226,	11,766975,	88,20473,	88,9249,	92,391975,	92,31738,	92,31738,	28,423353,	19,850822,	90,78189,	91,74383,	93,235596,	92,02675,	87,00617,	15,625,		16,432613,	19,31327,	16,9393,	15,290637,	26,54321,	19,27212,	13,693417,	19,161522,	18,582819,	
7,	20,452675,	19,727365,	18,549383,	85,892494,	16,234568,	13,271605,	0,		14,007202,	13,654836,	19,387861,	14,071502,	13,058127,	16,538065,	14,241256,	89,12809,	89,77881,	93,21502,	93,17387,	93,17387,	29,835392,	22,139917,	91,62809,	92,59259,	93,88374,	92,74435,	87,890945,	17,577162,	18,153292,	18,948046,	18,3179,	16,322018,	28,22788,	19,866255,	14,750515,	21,766975,	20,48611,	
8,	19,817387,	16,669239,	16,471193,	84,735085,	12,3148155,	10,94393,	14,007202,	0,		9,696503,	19,85854,	10,403807,	10,036008,	12,716049,	10,977366,	87,926956,	88,99691,	92,24537,	91,954735,	91,954735,	26,401749,	19,243828,	90,87963,	91,52778,	93,143005,	91,97788,	86,736115,	15,717593,	16,406895,	18,708847,	16,450617,	15,43467,	25,221193,	18,726852,	14,279835,	18,467077,	17,548868,	
9,	19,302984,	17,481997,	17,21965,	85,00257,	13,009259,	10,93107,	13,654836,	9,696503,	0,		19,542181,	11,028807,	9,830247,	13,786009,	10,972222,	87,96296,	88,74743,	92,08591,	91,75411,	91,75411,	27,376545,	20,023148,	90,833336,	91,59722,	93,2253,	92,05504,	86,60494,	16,586933,	16,949589,	19,23611,	16,769548,	16,121399,	25,64043,	19,040638,	14,670782,	19,012346,	18,356482,	
10,	22,101337,	22,05247,	21,599794,	88,56224,	19,794239,	20,226337,	19,387861,	19,85854,	19,542181,	0,		19,580761,	19,498457,	21,015947,	19,578188,	90,25977,	90,47582,	93,078705,	92,90638,	92,90638,	24,207819,	22,479424,	92,27367,	92,76749,	93,97891,	93,176445,	89,06379,	22,304527,	20,77932,	23,037552,	21,1857,	20,52469,	22,278807,	23,477367,	19,614197,	22,713478,	22,484568,	
